label,text
"""Human""","This paper presents a novel method of lossy image compression for digital colorful image sensors with Bayer color filter arrays (CFAs) based on an analysis of existing compression-first methods. An improved compression and decompression structure is described. The captured CFA raw data are firstly lowpass filtered in RGB space by a smooth filter followed by a down-sampling operation. Next, the data are transformed from RGB space to YCbCr space. Lastly, the filtered data in YCbCr space are compressed directly before full color interpolation to avoid redundancy. The presented method can provide a lower compression ratio and has lower complexity than both conventional interpolation-first image compression methods and other similar existing compression-first methods."
"""AI""","This paper introduces an innovative approach to lossy image compression tailored for digital colorful image sensors featuring Bayer color filter arrays (CFAs). The method stems from a meticulous examination of existing compression-first techniques and offers an enhanced compression and decompression framework. The process commences with the application of a smooth filter to the captured CFA raw data within the RGB space, followed by a down-sampling operation. Subsequently, the data undergo a conversion from RGB space to YCbCr space. Ultimately, the filtered YCbCr data are compressed prior to full color interpolation, mitigating redundancy. This novel methodology exhibits distinct advantages, including a reduced compression ratio and lower complexity when contrasted with conventional interpolation-first image compression techniques, as well as other comparable compression-first strategies prevalent in the field. By sidestepping redundancy through this innovative approach, the proposed method presents a promising avenue for efficient and effective image compression, well-suited to digital colorful image sensors with Bayer CFAs."
"""Human""","This paper describes a circular first in first out (FIFO) and its protocols which have a very low latency while still maintaining high throughput. Unlike the existing serial FIFOs based on asynchronous micropipelines, this FIFO's cells communicate directly with the input and output ports through a common bus, which effectively eliminates the data movement from the input port to the output port, thereby reducing the latency and the power consumption. Furthermore, the latency does not increase with the number of FIFO stages. Single-track asynchronous protocols are used to simplify the FIFO controller design, with only three C-gates needed in each cell controller, which substantially reduces the area. Simulations with the TSMC 0.25 μm CMOS logic process show that the latency of the 4-stage FIFO is less than 581 ps and the throughput is higher than 2.2 GHz."
"""AI""","This paper outlines a circular First In First Out (FIFO) structure alongside its associated protocols, demonstrating remarkably low latency paired with sustained high throughput. Unlike prevalent serial FIFOs that rely on asynchronous micropipelines, this innovation facilitates direct communication between the FIFO's cells and input/output ports through a shared bus. This streamlined architecture negates the necessity for data movement between input and output, culminating in reduced latency and power consumption. Notably, the latency remains unaffected by the number of FIFO stages. The design leverages single-track asynchronous protocols to simplify FIFO controller design, with each cell controller necessitating just three C-gates, substantially curtailing area requirements. Employing simulations with the TSMC 0.25 μm CMOS logic process, results indicate a latency of under 581 picoseconds and a throughput exceeding 2.2 gigahertz for the 4-stage FIFO. This breakthrough offers a compelling prospect for efficient data management, striking an optimal balance between latency and throughput in digital systems."
"""Human""","Truck scheduling and storage allocation, as two separate subproblems in port operations, have been deeply studied in past decades. However, from the operational point of view, they are highly interdependent. Storage allocation for import containers has to balance the travel time and queuing time of each container in yard. This paper proposed an integer programming model handling these two problems as a whole. The objective of this model is to reduce congestion and waiting time of container trucks in the terminal so as to decrease the makespan of discharging containers. Due to the inherent complexity of the problem, a genetic algorithm and a greedy heuristic algorithm are designed to attain near optimal solutions. It shows that the heuristic algorithm can achieve the optimal solution for small-scale problems. The solutions of small- and large-scale problems obtained from the heuristic algorithm are better than those from the genetic algorithm."
"""AI""","Truck scheduling and storage allocation, traditionally treated as distinct subproblems in port operations, have undergone exhaustive investigation over the years. Yet, when examined from an operational lens, their interdependence becomes evident. The allocation of storage for import containers mandates a delicate equilibrium between travel time and queuing time, as each container navigates the yard. This paper introduces an integer programming model that seamlessly addresses these dual challenges. The model strives to alleviate congestion and waiting times endured by container trucks within the terminal, thereby diminishing the overall discharging time of containers. Given the inherent intricacies of the problem, the study presents a genetic algorithm and a pragmatic heuristic algorithm, both aimed at deriving nearly optimal solutions. Impressively, the heuristic algorithm attains optimal solutions for small-scale problems, demonstrating its effectiveness. Moreover, for problems of varying scales, solutions from the heuristic algorithm outperform those generated by the genetic algorithm. This research underscores the efficacy of an integrated approach in optimizing truck scheduling and storage allocation within port operations."
"""Human""","Tangible augmented reality (TAR) technology opens a novel realm which integrates the computergenerated elements into the real word. Its applications into design education have been explored with a limitation to this entire area. TAR offers an innovative learning space by merging digital learning materials into the format of media with tools or objects which are direct parts of the physical space. It is therefore conceived that such combination opens new perspectives in teaching and learning. This paper presented and evaluated one TAR system to improve the pedagogical effectiveness of experiential and collaborative learning process in urban design education. The results from the experiments were analyzed under a previously developed theoretical framework, which show that TAR can enhance the design activities in some collaborative work."
"""AI""","Tangible Augmented Reality (TAR) technology introduces a groundbreaking dimension by seamlessly integrating computer-generated elements into the real world. While its applications in design education have been explored, the scope remains somewhat confined. TAR ushers in a pioneering learning environment, merging digital learning materials with tangible tools or objects inherent to the physical space. This amalgamation sparks fresh perspectives in teaching and learning. This paper introduces and assesses a TAR system aimed at enhancing the pedagogical efficacy of experiential and collaborative learning in urban design education. The experiments' outcomes were scrutinized using an established theoretical framework, revealing that TAR has the potential to enrich design activities within collaborative contexts. This research underscores the transformative role of TAR in fostering enhanced learning experiences within design education."
"""Human""","We evaluate the technical feasibility of applying emerging wireless network technologies for resources tracking at building construction sites. We first identify practical constraints in solving resourcetracking problems in an enclosed or partially covered environment. We then compare pros and cons of available localization principles and examine the latest wireless communication technologies, including Wi-Fi, Bluetooth, Ultra-Wideband (UWB) and ZigBee. We find that the ZigBee-based wireless sensor network and the received signal strength indicator (RSSI) localization method are most promising to tackle on-site tracking of construction resources. Finally, we anticipate some application challenges associated with deploying wireless sensor networks for resources tracking in the practical context"
"""AI""","We assess the technical viability of utilizing emerging wireless network technologies to facilitate resource tracking within building construction sites. Our analysis commences by identifying practical constraints encountered when addressing resource tracking issues within enclosed or partially covered environments. Subsequently, we scrutinize the merits and drawbacks inherent to available localization principles, juxtaposing these against the backdrop of contemporary wireless communication technologies, such as Wi-Fi, Bluetooth, Ultra-Wideband (UWB), and ZigBee. Our investigation reveals that the ZigBee-based wireless sensor network, coupled with the received signal strength indicator (RSSI) localization method, emerges as a promising avenue for effectively addressing on-site resource tracking challenges within construction contexts. As a culmination, we anticipate potential application challenges tied to the deployment of wireless sensor networks for resource tracking, firmly rooted in practical implementation realities."
"""Human""","In order to improve performance and security of image encryption algorithm effectively based on chaotic sequences, an extended chaotic sequence generating method is presented based on logistic chaotic system using Bernstein form Bézier curve generating algorithm. In order to test the pseudorandom performance of the extended chaotic sequence, we also analyze random performance, autocorrelation performance, and balance performance of the extended chaotic sequence. Simulation results show that the extended chaotic sequence generated using our method is pseudorandom and its correlation performance and balance performance are good. As an application, we apply the extended chaotic sequence in image encryption algorithm, the simulation results show that the performance of the encrypted image using our method is better than that using logistic chaotic sequence."
"""AI""","To enhance the efficacy and security of image encryption algorithms rooted in chaotic sequences, this study introduces an expanded method for generating chaotic sequences. Leveraging the logistic chaotic system and the Bernstein form Bézier curve generating algorithm, the extended chaotic sequence generation technique is advanced. The performance of this extended chaotic sequence is thoroughly evaluated through an assessment of its pseudorandomness, as well as its autocorrelation and balance characteristics. Simulation outcomes affirm that the generated extended chaotic sequence exhibits pseudorandom behavior, displaying favorable autocorrelation and balance performance. Furthermore, the study applies the extended chaotic sequence within an image encryption algorithm, revealing superior performance compared to the utilization of a traditional logistic chaotic sequence. By introducing this advanced chaotic sequence generation method, the study contributes to the advancement of image encryption techniques with improved performance and security."
"""Human""","Automatic gain control (AGC) has been used in many applications. The key features of AGC, including a steady state output and static/dynamic timing response, depend mainly on key parameters such as the reference and the filter coefficients. A simple model developed to describe AGC systems based on several simple assumptions shows that AGC always converges to the reference and that the timing constant depends on the filter coefficients. Measures are given to prevent oscillations and limit cycle effects. The simple AGC system is adapted to a multiple AGC system for a TV tuner in a much more efficient model. Simulations using the C language are 16 times faster than those with MATLAB, and 10 times faster than those with a mixed register transfer level (RTL)-simulation program with integrated circuit emphasis (SPICE) model."
"""AI""","Automatic Gain Control (AGC) finds widespread application across various domains. AGC's defining attributes, encompassing its steady-state output and static/dynamic timing response, pivot significantly around pivotal parameters like the reference and filter coefficients. A streamlined model, fashioned to encapsulate AGC systems, based on a series of elementary assumptions, reveals that AGC consistently converges towards the reference point, and the timing constant hinges on filter coefficients. Strategies are outlined to stave off oscillations and confine the impact of limit cycle effects. This rudimentary AGC blueprint transitions into a more efficient model, catering to a multiple AGC configuration for a television tuner. Utilizing the C language for simulations expedites processes, rendering outcomes 16 times swifter than MATLAB and 10 times faster than a mixed Register Transfer Level (RTL) simulation program interfaced with a model focused on Integrated Circuit Emphasis (SPICE)."
"""Human""","Semi-solid metal casting and forming is a promising production method for a wide range of metal alloys. In spite of many applications for semi-solid processed light alloys, few works have reported on the semi-solid processing of iron and steel. In this research, an inclined plate was used to change the dendritic structure of iron to globular. The effects of the length and slope of the plate on the casting structure were examined. The results show that the process effectively changes the dendritic structure to globular. A sloped plate angle of 7.5° and length of 560 mm with a cooling rate of 67 K • s −1 gave the optimum graphite nodularity and solid particle globularity. The results also show that the sloped plate more easily prevents inoculant fading since the total time processing is rather short. In addition the semi-solid ductile cast iron prepared using the inclined plate method was reheated to examine the effect of reheating conditions on the micro-structure and coarsening kinetics of the alloy. The solid fractions at different reheating temperatures and holding times were used to find the optimum reheating temperature range."
"""AI""","Semi-solid metal casting and forming present a promising avenue for producing various metal alloys. While there have been numerous applications of semi-solid processing for lightweight alloys, the focus on iron and steel remains limited. This research endeavors to transform the dendritic structure of iron into a globular form using an inclined plate. The study investigates the impact of plate length and slope on the casting structure. The findings reveal that this process effectively alters the dendritic structure to a globular morphology. An optimal configuration is achieved with a sloped plate angle of 7.5° and a length of 560 mm, coupled with a cooling rate of 67 K • s −1, resulting in optimal graphite nodularity and solid particle globularity. Moreover, the sloped plate design demonstrates greater effectiveness in curbing inoculant fading due to its relatively short processing time. Subsequently, the research subjects semi-solid ductile cast iron prepared via the inclined plate method to a reheating process. This examination delves into the influence of reheating conditions on the alloy's microstructure and coarsening kinetics. Through analysis of solid fractions at varying reheating temperatures and durations, an optimal temperature range for reheating is established."
"""Human""","Currently, the IT-support for energy performance rating of buildings is insufficient. So-called ITplatforms often “built” of an ad-hoc, inconsistent combination of off-the-shelf building management components, distributed data metering equipment and several monitoring software tools. A promising approach to achieve consistent, holistic performance data management is the implementation of an integrated, modular wireless sensor platform. This paper presents an approach of how wireless sensors can be seamlessly integrated into existing and future intelligent building management systems supporting improved building performance and diagnostics with an emphasis on energy management."
"""AI""","The existing IT support for assessing the energy performance of buildings is inadequate, characterized by ad-hoc combinations of off-the-shelf building management components, distributed data metering equipment, and various monitoring software tools within IT platforms. To establish a more cohesive and comprehensive approach to managing performance data, the integration of an integrated, modular wireless sensor platform is proposed. This paper outlines a strategy for seamlessly incorporating wireless sensors into both current and upcoming intelligent building management systems. The focus lies on enhancing building performance and diagnostics, particularly in the realm of energy management."
"""Human""","The growing size of the multiprocessor systems increases their vulnerability to component failures. It is crucial to local and to replace the fault processors to maintain system's high reliability. The fault diagnosis is the process of identifying faulty processors in a system through testing. This paper establishes the diagnosabilities of the incomplete star graph S n (n> 4) with missing links under the PMC model and its variant, the BGM model, and shows that the diagnosabilities of incomplete star graph S n under these two diagnostic models can be determined by the minimum degree of its topology structure. This method can also be applied to the other existing multiprocessor systems"
"""AI""","As multiprocessor systems grow in size, their susceptibility to component failures increases, necessitating the timely identification and replacement of faulty processors to maintain system reliability. Fault diagnosis, the process of identifying malfunctioning processors through testing, is essential in this context. This paper examines the diagnosabilities of incomplete star graphs, denoted as S n (where n > 4), that possess missing links. The study is conducted under the PMC (Parallel Multiple Comparison) model and its variant, the BGM (Between-Group and within-Group Misconnection) model. The paper establishes that the diagnosabilities of incomplete star graphs S n , governed by these two diagnostic models, can be determined by evaluating the minimum degree of their topology structure. This approach is not limited to incomplete star graphs but can be extended to other existing multiprocessor systems as well."
"""Human""","This paper presents a dynamic model of a planar flexible inverted pendulum system under the frame of multi-body dynamics by floating frame of reference formulation (FFRF). By proper simplification and linearization, the state space equation of the system was established for linear analysis and control design. The simulation method for such a coupled system by multi-body dynamics program was also provided. The designed controller with a simple low-pass filter for the flexible inverted pendulum was validated by the simulation of a simple flexible pendulum sample. The result demonstrates a new method of designing and verifying a feedback controller of a flexible multi-body system."
"""AI""","In this paper, a dynamic model of a planar flexible inverted pendulum system is introduced within the context of multi-body dynamics, utilizing the floating frame of reference formulation (FFRF). Through appropriate simplification and linearization techniques, the state space equation governing the system's behavior is derived, enabling subsequent linear analysis and control design. Additionally, the paper outlines a simulation approach to handle the interactions within such a coupled system using a multi-body dynamics program. To validate the effectiveness of the proposed method, a controller was designed for the flexible inverted pendulum, featuring a straightforward low-pass filter. The designed controller's performance was assessed through simulation using a basic flexible pendulum model, showcasing a novel approach for developing and validating feedback controllers for flexible multi-body systems."
"""Human""","We present an overview of unique properties of metamaterials, especially negative index materials. These have allowed novel applications, concepts and devices to be developed in the past decade. A review of the progress made in this field is presented with a focus on microwave devices and applications in wireless communications. Since a metamaterial can be regarded as a continuous medium with effective dielectric permittivity and effective magnetic permeability, we present the procedure for the extraction of effective electromagnetic parameters for a guided wave structure with split-ring resonators. As examples, our own designs of bandpass and triple-band filters, which are constructed using metamaterial-inspired resonator elements, are presented and discussed."
"""AI""","This paper provides an overview of the distinctive characteristics of metamaterials, particularly negative index materials, and highlights their role in fostering novel applications, concepts, and devices over the past decade. The review centers on advancements made in this field, with a specific emphasis on microwave devices and their applications in wireless communications. Given that a metamaterial can be treated as a continuous medium characterized by effective dielectric permittivity and magnetic permeability, the paper outlines the procedure for deducing effective electromagnetic parameters for a guided wave structure utilizing split-ring resonators. The article also showcases self-developed designs of bandpass and triple-band filters that utilize resonator elements inspired by metamaterials, delving into their construction and discussing their significance."
"""Human""","Optimization of adaptive traffic signal timing is one of the most complex problems in traffic control systems. This paper presents an adaptive transit signal priority (TSP) strategy that applies the parallel genetic algorithm (PGA) to optimize adaptive traffic signal control in the presence of TSP. The method can optimize the phase plan, cycle length, and green splits at isolated intersections with consideration for the performance of both the transit and the general vehicles. A VISSIM (VISual SIMulation) simulation testbed was developed to evaluate the performance of the proposed PGA-based adaptive traffic signal control with TSP. The simulation results show that the PGA-based optimizer for adaptive TSP outperformed the fully actuated NEMA control in all test cases. The results also show that the PGA-based optimizer can produce TSP timing plans that benefit the transit vehicles while minimizing the impact of TSP on the general vehicles."
"""AI""","""This paper introduces an adaptive transit signal priority (TSP) strategy that employs a parallel genetic algorithm (PGA) to optimize the adaptive control of traffic signals while incorporating TSP functionality. The approach focuses on optimizing phase plans, cycle lengths, and green splits at isolated intersections, taking into account the performance of both transit and general vehicles. A simulation testbed using VISSIM (VISual SIMulation) was developed to assess the effectiveness of the proposed PGA-based adaptive traffic signal control with TSP. The simulation outcomes demonstrate that the PGA-based optimizer for adaptive TSP surpasses fully actuated NEMA control across all test scenarios. Moreover, the results reveal that the PGA-based optimizer can generate TSP timing plans that improve transit vehicle flow while minimizing the impact on general vehicle traffic."""
"""Human""","""The United States real estate market is currently facing its worst hit in two decades due to the slowdown of housing sales. The most affected by this decline are real estate investors and home developers who are currently struggling to break-even financially on their investments. For these investors, it is of utmost importance to evaluate the current status of the market and predict its performance over the shortterm in order to make appropriate financial decisions. This paper presents the development of artificial neural network based models to support real estate investors and home developers in this critical task. The paper describes the decision variables, design methodology, and the implementation of these models. The models utilize historical market performance data sets to train the artificial neural networks in order to predict unforeseen future performances. An application example is analyzed to demonstrate the model capabilities in analyzing and predicting the market performance. The model testing and validation showed that the error in prediction is in the range between −2% and +2%."""
"""AI""","""Amid the current slowdown in housing sales, the US real estate market is grappling with its most significant downturn in twenty years, resulting in challenges for real estate investors and home developers to break even on their investments. In this context, accurately assessing the market's present status and predicting its near-term trajectory are paramount for informed financial decision-making. This study introduces artificial neural network-based models tailored to aid real estate investors and home developers in this crucial task. The paper outlines the decision variables, design process, and implementation of these models. Leveraging historical market data sets, the models train artificial neural networks to forecast future performance trends. An illustrative case study showcases the models' proficiency in analyzing and predicting market dynamics. Rigorous testing and validation demonstrate prediction errors within the range of -2% to +2%."""
"""Human""","""A test strategy for analog filters was proposed. The output voltage and supply current of the circuit were monitored when using the oscillation test technique. The frequency, average value, maximum value and amplitude of both output voltage and supply current were taken as test parameters. Tolerance bands of test parameters were analyzed. Fault detectabilities of test parameters were compared and combined, and optimal parameter sets were derived. Experimental results show that both the output voltage and supply current give significant contribution to fault detection. Considering catastrophic, single and double parametric faults, the fault coverage in testing the benchmark circuit can be raised from 90.60% for traditional voltageonly oscillation test strategy to 97.2% by monitoring both output voltage and current parameters."""
"""AI""","""The paper presents a novel test strategy designed specifically for analog filters. This strategy involves utilizing the oscillation test technique to monitor the circuit's output voltage and supply current. Various test parameters such as frequency, average value, maximum value, and amplitude of both output voltage and supply current are measured. The paper then discusses the analysis of tolerance bands for these test parameters. To enhance fault detection, the fault detectabilities of different test parameters are compared and combined, leading to the identification of optimal parameter sets. Experimental results indicate that both output voltage and supply current measurements play a significant role in fault detection. When considering various fault types, including catastrophic, single, and double parametric faults, the fault coverage achieved by monitoring both output voltage and current parameters increases from 90.60% (using the traditional voltage-only oscillation test strategy) to 97.2%."""
"""Human""","""Closed-form solutions were developed to optimize kinematics design of a 2-degree-of-freedom (2-DOF) planar parallel manipulator. The optimum design based on the workspace was presented. Meanwhile, a global, comprehensive conditioning index was introduced to evaluate the kinematic designs. The optimal parallel manipulator is incorporated into a 5-DOF hybrid machine tool which includes a 2-D0F rotational milling head and a long movement worktable. The results show that the planar parallel manipulator-based machine tool can be successfully used to machine blades and guide vanes for a hydraulic turbine."""
"""AI""","""The paper introduces closed-form solutions for optimizing the kinematic design of a 2-degree-of-freedom (2-DOF) planar parallel manipulator. The optimization process is based on considerations of the workspace, ensuring that the manipulator performs optimally within its range of motion. Additionally, a comprehensive conditioning index is introduced to globally evaluate the kinematic designs, allowing for a thorough assessment of their performance.The optimized parallel manipulator is then integrated into a larger 5-degree-of-freedom (5-DOF) hybrid machine tool. This hybrid machine tool comprises a 2-DOF rotational milling head and a long-range movement worktable. The results of this integration demonstrate that the planar parallel manipulator-based machine tool proves effective in machining blades and guide vanes for hydraulic turbines. Overall, the study showcases the successful application of optimized parallel manipulators in complex machining tasks, particularly in the context of the hydraulic turbine industry."""
"""Human""","""This paper presents a model matching control (MMC) method based on the sliding mode control (SMC) method for longitudinal acceleration tracking control in a vehicular stop-and-go cruise control system. The nonlinearity of the vehicle acceleration response at low speeds was analyzed to develop a transfer function model of the vehicle longitudinal dynamics using the least-mean-square system identification technique. This transfer function was then used to design the MMC controller, including an SMC feedback compensator. The system combines the advantages of the two control methods with robust control and rapid response. Simulations show that the controller enhances the rapid trackability to the vehicle acceleration and improves the system's robustness at low speeds compared with conventional PID MMC controllers."""
"""AI""","""The paper introduces a new approach to control vehicular stop-and-go cruise systems by combining model matching control (MMC) with sliding mode control (SMC). It addresses the challenge of nonlinearity in vehicle acceleration at low speeds by developing a transfer function model through system identification. The MMC controller incorporates SMC feedback to enhance both rapid acceleration tracking and system robustness, resulting in improved performance compared to conventional PID-based MMC controllers. Simulation results demonstrate the effectiveness of the proposed method in achieving accurate and robust acceleration control in such systems."""
"""Human""","""The paper analyzes the equity of road resources distribution in urban areas by modeling the competitive relationship among different road users. A logistic model is used to describe the development of different traffic modes in the transportation network. The system is similar to the species competition model, so a two-species model is used to analyze the relationship between users based on the stability of the equilibrium points. The Lotka-Volterra model is then used to describe the multi-species cases with numerical examples, showing that this model can describe the effects of the road space distribution on the competitive user relationships. Policy makers must ensure the equity of road resources distribution so that each urban transportation mode is properly developed for sustainable social development."""
"""AI""","""The study focuses on analyzing the fairness of distributing road resources within urban areas by examining the competitive interactions between various road users. Using a logistic model to represent the growth of different transportation modes, the paper applies principles from species competition models to understand the dynamics among users. A two-species model investigates equilibrium stability, while a Lotka-Volterra model extends the analysis to multiple species scenarios. Numerical examples demonstrate the model's ability to depict the impacts of road space allocation on user competition dynamics. The findings emphasize the importance of equitable resource distribution for sustainable urban transportation development."""
"""Human""","""This paper describes the design of a unified framework for a multilingual text-to-speech (TTS) synthesis engine — Crystal. The unified framework defines the common TTS modules for different languages and/or dialects. The interfaces between consecutive modules conform to the speech synthesis markup language (SSML) specification for standardization, interoperability, multilinguality, and extensibility. Detailed module divisions and implementation technologies for the unified framework are introduced, together with possible extensions for the algorithm research and evaluation of the TTS synthesis. Implementation of a mixed-language TTS system for Chinese Putonghua, Chinese Cantonese, and English demonstrates the feasibility of the proposed unified framework."""
"""AI""","""The paper presents the development of a unified framework named Crystal for multilingual text-to-speech (TTS) synthesis. This framework aims to provide a common set of TTS modules applicable to various languages and dialects, ensuring interoperability, standardization, and extensibility through adherence to the speech synthesis markup language (SSML) specification. The study outlines the module divisions, implementation technologies, and potential extensions of the framework for algorithm research and evaluation purposes. To illustrate its effectiveness, a mixed-language TTS system encompassing Chinese Putonghua, Chinese Cantonese, and English is implemented within the proposed unified framework."""
"""Human""","""An image and video quality assessment method was developed using neural network and support vector machines (SVM) with the peak signal to noise ratio (PSNR) and the structure similarity indexes used to describe image quality. The neural network was used to obtain the mapping functions between the objective quality assessment indexes and subjective quality assessment. The SVM was used to classify the images into different types which were accessed using different mapping functions. Video quality was assessed based on the quality of each frame in the video sequence with various weights to describe motion and scene changes in the video. The number of isolated points in the correlations of the image and video subjective and objective quality assessments was reduced by this method. Simulation results show that the method accurately accesses image quality. The monotonicity of the method for images is 6.94% higher than with the PSNR method, and the root mean square error is at least 35.90% higher than with the PSNR."""
"""AI""","""The paper introduces a novel method for assessing image and video quality using a combination of neural networks and support vector machines (SVM). The method employs peak signal-to-noise ratio (PSNR) and structural similarity indexes as descriptors of image quality. Neural networks are utilized to establish relationships between objective and subjective quality assessment measures, while SVM is employed to classify images based on different mapping functions. For video quality assessment, the method considers individual frame quality with varying weights to account for motion and scene changes. By using this approach, the method reduces the number of isolated points in subjective and objective quality assessments for images and videos. Simulation results demonstrate the method's accuracy in assessing image quality, with higher monotonicity and lower root mean square error compared to the PSNR method."""
"""Human""","""Two classical theories, the technology acceptance model (TAM) and the innovation diffusion theory (lOT), were integrated into a model for analyzing individual information technology (IT) adoption behavior. In this IDT-TAM framework, the perceived characteristics of innovation are categorized as subjective evaluation, objective conditions, and interaction factors. The cognitive mechanisms that drive user IT acceptance are analyzed based on the patterns through which these characteristics influence individual user IT adoption behavior. The model was tested using an empirical survey regarding the adoption and use of e-mail in China. Results from a structural equation model analysis illustrate that the model provides meaningful insights for understanding, explaining, and predicting the IT adoption behavior of Chinese users."""
"""AI""","""The paper presents a model that combines two well-known theories, the Technology Acceptance Model (TAM) and the Innovation Diffusion Theory (IDT), to analyze individual adoption behavior of information technology (IT). Within this framework, the perceived characteristics of innovation are divided into subjective evaluation, objective conditions, and interaction factors. The model examines how these characteristics impact users' IT adoption behavior through cognitive mechanisms. The model's effectiveness is demonstrated through an empirical survey focused on e-mail adoption in China. The results, analyzed using a structural equation model, reveal that the model offers valuable insights into understanding, explaining, and predicting IT adoption behavior among Chinese users."""
"""Human""","""Automatic defect detection in X-ray images is currently a focus of much research at home and abroad. The technology requires computerized image processing, image analysis, and pattern recognition. This paper describes an image processing method for automatic defect detection using image data fusion which synthesizes several methods including edge extraction, wave profile analyses, segmentation with dynamic threshold, and weld district extraction. Test results show that defects that induce an abrupt change over a predefined extent of the image intensity can be segmented regardless of the number, location, shape, or size. Thus, the method is more robust and practical than the current methods using only one method."""
"""AI""","""The paper addresses the ongoing research on automatic defect detection in X-ray images. The method employs computerized image processing, analysis, and pattern recognition techniques. It presents an approach based on image data fusion, combining edge extraction, wave profile analysis, dynamic threshold segmentation, and weld district extraction. This method proves effective in detecting defects causing sudden intensity changes in the image, irrespective of their number, location, shape, or size. Compared to single-method approaches, this fusion-based method demonstrates greater robustness and practicality in automatic defect detection."""
"""Human""","""One key function of intelligent transportation systems is to automatically detect abnormal traffic phenomena and to help further investigations of the cause of the abnormality. This paper describes a robust principal components analysis (RPCA)-based abnormal traffic flow pattern isolation and loop detector fault detection method. The results show that RPCA is a useful tool to distinguish regular traffic flow from abnormal traffic flow patterns caused by accidents and loop detector faults. This approach gives an effective traffic flow data pre-processing method to reduce the human effort in finding potential loop detector faults. The method can also be used to further investigate the causes of the abnormality."""
"""AI""","""Intelligent transportation systems play a crucial role in identifying unusual traffic occurrences and aiding in the analysis of their origins. This paper introduces a method for detecting abnormal traffic patterns and loop detector faults using robust principal components analysis (RPCA). The approach effectively separates normal traffic flows from anomalies caused by accidents and detector faults. By employing RPCA, this technique streamlines traffic data preprocessing, lessening the need for human intervention in identifying possible loop detector issues. Furthermore, it can serve as a tool for delving deeper into the reasons behind such abnormalities."""
"""Human""","""One of the difficulties that goal-oriented requirements analyses encounters is that the efficiency of the goal refinement is based on the analysts' subjective knowledge and experience. To improve the efficiency of the requirements elicitation process, engineers need approaches with more systemized analysis techniques. This paper integrates the goal-oriented requirements language i ∗ with concepts from a structured problem analysis notation, problem frames (PF). The PF approach analyzes software design as a contextualized problem which has to respond to constraints imposed by the environment. The proposed approach is illustrated using the meeting scheduler exemplar. Results show that integration of the goal and the problem analysis enables simultaneous consideration of the designer's subjective intentions and the physical environmental constraints."""
"""AI""","""Efficiency in goal-oriented requirements analysis often faces challenges due to the reliance on analysts' subjective insights. To enhance the effectiveness of requirements elicitation, systematic methods are sought to improve the process. This paper merges the i* goal-oriented requirements language with concepts from problem frames (PF), a structured problem analysis notation. PF examines software design within its context, accounting for constraints imposed by the environment. The approach is demonstrated using a meeting scheduler example, illustrating how integrating goal and problem analysis allows for a simultaneous consideration of designer intentions and environmental constraints, yielding more comprehensive insights."""
"""Human""","""Balanced wrapper scan chains are desirable for system-an-chip (SoC) testing because they minimize the time required to transport the test data. A new heuristic algorithm is proposed based on meanvalue approximation and implement fast re-optimization as a subsequence of an earlier best-fit-decrease (BFO) method. The mean length of each scan chain was introduced as an approximation target to balance different scan chains and hence saved testing time. Experimental results present both for assumed arbitrary cores and cores from ITC'02 benchmark and show the effectiveness of the algorithm. The proposed algorithm can provide more balanced wrapper design efficiently for the test scheduling stage"""
"""AI""","""Balanced wrapper scan chains play a crucial role in efficient system-on-chip (SoC) testing by minimizing data transportation time. This paper introduces a novel heuristic algorithm that leverages mean-value approximation and rapid re-optimization as part of a best-fit-decrease (BFO) method. The algorithm aims to balance various scan chains by targeting the mean length of each chain, resulting in time savings during testing. Experimental evaluations using arbitrary cores and ITC'02 benchmark cores highlight the algorithm's effectiveness. The proposed approach efficiently enhances wrapper design for the test scheduling phase, promoting more balanced and streamlined testing procedures."""
"""Human""","""Electronic commerce is becoming increasingly important in business, but lack of intention to purchase has become a main barrier in the development of electronic commerce. Thus, effective measures are needed to promote consumers' intentions to purchase in online consumer to consumer (C2C) stores. This paper postulates that five factors, the perceived ease of use of the website, perceived usefulness of the website, vendor competence, introduction and recommendations of third parties, and vendors' attitude toward customers, influence consumers' intentions to purchase in online C2C stores and this intention directly leads to their action to purchase from online C2C stores. The structural equation modeling (SEM) method was used to analyze empirical data, supporting these hypotheses except for the effect of vendor competence."""
